  Run#   Cultivar     DAYL      Srad     Tmean        Vt      SumRFi      ADAP      ADOY
   149   Gen=1        16.0      21.5      28.0      1.60     0.00000     -99.0       -99
   150   Gen=1        16.0      21.5      29.0      1.60     0.00000     -99.0       -99
   151   Gen=1        16.5      21.5      15.0      1.60     0.00000     -99.0       -99
   152   Gen=1        16.5      21.5      16.0      1.60     0.00000     -99.0       -99
   153   Gen=1        16.5      21.5      17.0      1.60     0.00000     -99.0       -99
   154   Gen=1        16.5      21.5      18.0      1.60     0.00000     -99.0       -99
   155   Gen=1        16.5      21.5      19.0      1.60     0.00000     -99.0       -99
   156   Gen=1        16.5      21.5      20.0      1.60     0.00000     -99.0       -99
   157   Gen=1        16.5      21.5      21.0      1.60     0.00000     -99.0       -99
   158   Gen=1        16.5      21.5      22.0      1.60     0.00000     -99.0       -99
   159   Gen=1        16.5      21.5      23.0      1.60     0.00000     -99.0       -99
   160   Gen=1        16.5      21.5      24.0      1.60     0.00000     -99.0       -99
   161   Gen=1        16.5      21.5      25.0      1.60     0.00000     -99.0       -99
   162   Gen=1        16.5      21.5      26.0      1.60     0.00000     -99.0       -99
   163   Gen=1        16.5      21.5      27.0      1.60     0.00000     -99.0       -99
   164   Gen=1        16.5      21.5      28.0      1.60     0.00000     -99.0       -99
   165   Gen=1        16.5      21.5      29.0      1.60     0.00000     -99.0       -99
   166   Gen=1        17.0      21.5      15.0      1.60     0.00000     -99.0       -99
   167   Gen=1        17.0      21.5      16.0      1.60     0.00000     -99.0       -99
   168   Gen=1        17.0      21.5      17.0      1.60     0.00000     -99.0       -99
   169   Gen=1        17.0      21.5      18.0      1.60     0.00000     -99.0       -99
   170   Gen=1        17.0      21.5      19.0      1.60     0.00000     -99.0       -99
   171   Gen=1        17.0      21.5      20.0      1.60     0.00000     -99.0       -99
   172   Gen=1        17.0      21.5      21.0      1.60     0.00000     -99.0       -99
   173   Gen=1        17.0      21.5      22.0      1.60     0.00000     -99.0       -99
   174   Gen=1        17.0      21.5      23.0      1.60     0.00000     -99.0       -99
   175   Gen=1        17.0      21.5      24.0      1.60     0.00000     -99.0       -99
   176   Gen=1        17.0      21.5      25.0      1.60     0.00000     -99.0       -99
   177   Gen=1        17.0      21.5      26.0      1.60     0.00000     -99.0       -99
   178   Gen=1        17.0      21.5      27.0      1.60     0.00000     -99.0       -99
   179   Gen=1        17.0      21.5      28.0      1.60     0.00000     -99.0       -99
   180   Gen=1        17.0      21.5      29.0      1.60     0.00000     -99.0       -99
   181   Gen=1        17.5      21.5      15.0      1.60     0.00000     -99.0       -99
   182   Gen=1        17.5      21.5      16.0      1.60     0.00000     -99.0       -99
   183   Gen=1        17.5      21.5      17.0      1.60     0.00000     -99.0       -99
   184   Gen=1        17.5      21.5      18.0      1.60     0.00000     -99.0       -99
   185   Gen=1        17.5      21.5      19.0      1.60     0.00000     -99.0       -99
   186   Gen=1        17.5      21.5      20.0      1.60     0.00000     -99.0       -99
   187   Gen=1        17.5      21.5      21.0      1.60     0.00000     -99.0       -99
   188   Gen=1        17.5      21.5      22.0      1.60     0.00000     -99.0       -99
   189   Gen=1        17.5      21.5      23.0      1.60     0.00000     -99.0       -99
   190   Gen=1        17.5      21.5      24.0      1.60     0.00000     -99.0       -99
   191   Gen=1        17.5      21.5      25.0      1.60     0.00000     -99.0       -99
   192   Gen=1        17.5      21.5      26.0      1.60     0.00000     -99.0       -99
   193   Gen=1        17.5      21.5      27.0      1.60     0.00000     -99.0       -99
   194   Gen=1        17.5      21.5      28.0      1.60     0.00000     -99.0       -99
   195   Gen=1        17.5      21.5      29.0      1.60     0.00000     -99.0       -99
   196   Gen=1        18.0      21.5      15.0      1.60     0.00000     -99.0       -99
   197   Gen=1        18.0      21.5      16.0      1.60     0.00000     -99.0       -99
   198   Gen=1        18.0      21.5      17.0      1.60     0.00000     -99.0       -99
   199   Gen=1        18.0      21.5      18.0      1.60     0.00000     -99.0       -99
   200   Gen=1        18.0      21.5      19.0      1.60     0.00000     -99.0       -99
   201   Gen=1        18.0      21.5      20.0      1.60     0.00000     -99.0       -99
   202   Gen=1        18.0      21.5      21.0      1.60     0.00000     -99.0       -99
   203   Gen=1        18.0      21.5      22.0      1.60     0.00000     -99.0       -99
   204   Gen=1        18.0      21.5      23.0      1.60     0.00000     -99.0       -99
   205   Gen=1        18.0      21.5      24.0      1.60     0.00000     -99.0       -99
   206   Gen=1        18.0      21.5      25.0      1.60     0.00000     -99.0       -99
   207   Gen=1        18.0      21.5      26.0      1.60     0.00000     -99.0       -99
   208   Gen=1        18.0      21.5      27.0      1.60     0.00000     -99.0       -99
   209   Gen=1        18.0      21.5      28.0      1.60     0.00000     -99.0       -99
   210   Gen=1        18.0      21.5      29.0      1.60     0.00000     -99.0       -99
   211   Gen=1        18.5      21.5      15.0      1.60     0.00000     -99.0       -99
   212   Gen=1        18.5      21.5      16.0      1.60     0.00000     -99.0       -99
   213   Gen=1        18.5      21.5      17.0      1.60     0.00000     -99.0       -99
   214   Gen=1        18.5      21.5      18.0      1.60     0.00000     -99.0       -99
   215   Gen=1        18.5      21.5      19.0      1.60     0.00000     -99.0       -99
   216   Gen=1        18.5      21.5      20.0      1.60     0.00000     -99.0       -99
   217   Gen=1        18.5      21.5      21.0      1.60     0.00000     -99.0       -99
   218   Gen=1        18.5      21.5      22.0      1.60     0.00000     -99.0       -99
   219   Gen=1        18.5      21.5      23.0      1.60     0.00000     -99.0       -99
   220   Gen=1        18.5      21.5      24.0      1.60     0.00000     -99.0       -99
   221   Gen=1        18.5      21.5      25.0      1.60     0.00000     -99.0       -99
   222   Gen=1        18.5      21.5      26.0      1.60     0.00000     -99.0       -99
   223   Gen=1        18.5      21.5      27.0      1.60     0.00000     -99.0       -99
   224   Gen=1        18.5      21.5      28.0      1.60     0.00000     -99.0       -99
   225   Gen=1        18.5      21.5      29.0      1.60     0.00000     -99.0       -99
